sender_id,user_message,bot_message,updated_time
,user,dạ mình còn cam 1190k,2020-05-03T09:40:19+0000
3507690315912711,Này giá bnh zay,bot,2020-05-03T09:40:19+0000
3507690315912711,,bot,2020-05-03T09:40:19+0000
,user,dạ 2990k b ạu,2020-05-03T09:39:08+0000
,user,Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https:\/\/facebook.com\/1454523434857990\/posts\/2452165038427153\/?comment_id=2455514911425499),2020-05-03T09:39:08+0000
2203783783052497,,bot,2020-05-03T09:39:08+0000
2203783783052497,user,1967,2020-05-03T09:39:08+0000
2203783783052497,user,1450+199+89+79+130+20,2020-05-03T09:39:08+0000
2203783783052497,0904927535,bot,2020-05-03T09:39:08+0000
2203783783052497,Ship cho m đến 142 nghi tàm,bot,2020-05-03T09:39:08+0000
2203783783052497,Tổng đơn bnh ạ,bot,2020-05-03T09:39:08+0000
2203783783052497,"1 ghế pier xanh lá, 1 cốc richell tay xanh nắp vàng, 1 bôh xúc xắc hươu voi, 1 sách vài winfun & 1c vòng xoay này",bot,2020-05-03T09:39:08+0000
2203783783052497,Bé đang tập lẫy thui,bot,2020-05-03T09:39:08+0000
2203783783052497,K lấy bóng tập bò nữa ai,bot,2020-05-03T09:39:08+0000
2203783783052497,Thế m lấy cái này,bot,2020-05-03T09:39:08+0000
2203783783052497,user,dạ có ạ,2020-05-03T09:39:08+0000
2203783783052497,Có quay k ạ,bot,2020-05-03T09:39:08+0000
2203783783052497,user,n chỉ phát nhạc thôi ạ,2020-05-03T09:39:08+0000
2203783783052497,user,130k b ạ,2020-05-03T09:39:08+0000
2203783783052497,"Bé m 4,5 m chơi cái này hay cái bóng tập bò hơn nhỉ",bot,2020-05-03T09:39:08+0000
2203783783052497,Mấy tháng chơi đc,bot,2020-05-03T09:39:08+0000
2203783783052497,Cái này bnh b,bot,2020-05-03T09:39:08+0000
2203783783052497,,bot,2020-05-03T09:39:08+0000
2203783783052497,user,ship 20k b ạ,2020-05-03T09:39:08+0000
2203783783052497,142 nghi tàm,bot,2020-05-03T09:39:08+0000
2203783783052497,Cốc như màu m chụp í,bot,2020-05-03T09:39:08+0000
2203783783052497,"Sách vải, xúc xắc & bóng tập bò nữa",bot,2020-05-03T09:39:08+0000
2203783783052497,user,vâng cho mk đc,2020-05-03T09:39:08+0000
,user,bạn ck mình gửi nhe,2020-05-03T09:38:59+0000
802610409862565,Ship cho mình cái xe motion màu xanh nhé,bot,2020-05-03T09:38:59+0000
802610409862565,,bot,2020-05-03T09:38:59+0000
802610409862565,user,Dạ 450k ah,2020-05-03T09:38:59+0000
802610409862565,user,Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https:\/\/facebook.com\/1454523434857990\/posts\/2451587551818235\/?comment_id=2452209878422669),2020-05-03T09:38:59+0000
802610409862565,,bot,2020-05-03T09:38:59+0000
802610409862565,user,60k b ạ,2020-05-03T09:38:59+0000
802610409862565,Phia gửi ra bến xe tầm bn bạn? Để mình tính,bot,2020-05-03T09:38:59+0000
802610409862565,,bot,2020-05-03T09:38:59+0000
802610409862565,user,nhưng b mất thêm phí bên mk gửi ra nhà xe,2020-05-03T09:38:59+0000
802610409862565,user,dạ được b ạ,2020-05-03T09:38:59+0000
802610409862565,Chỗ mình có hãng xe hà sơn - hải vân có dv ship đồ thôi,bot,2020-05-03T09:38:59+0000
802610409862565,user,Bạn có nhà xe quen ko ja?,2020-05-03T09:38:59+0000
802610409862565,Gửi ô tô khách có bớt dc tiền ko shop? Chứ tiền ship nhiều quá,bot,2020-05-03T09:38:59+0000
802610409862565,Hic,bot,2020-05-03T09:38:59+0000
802610409862565,user,Phí khoảng 200k-300k bạn ạ,2020-05-03T09:38:59+0000
802610409862565,Ship set cầu trượt đến tp lào cai tầm bao nhiêu tiền vậy shop?,bot,2020-05-03T09:38:59+0000
802610409862565,user,dạ giá này bên mk ko gaimr dk nữa ạ,2020-05-03T09:38:59+0000
802610409862565,Mình mua hàng bên nhà bạn rồi mà,bot,2020-05-03T09:38:59+0000
802610409862565,Set cầu trượt còn giảm dc chút nào ko bạn?,bot,2020-05-03T09:38:59+0000
802610409862565,user,mình hết r ạ,2020-05-03T09:38:59+0000
802610409862565,Màu xanh luôn,bot,2020-05-03T09:38:59+0000
802610409862565,Bộ này nữa,bot,2020-05-03T09:38:59+0000
802610409862565,,bot,2020-05-03T09:38:59+0000
802610409862565,user,Mình còn ạ,2020-05-03T09:38:59+0000
,user,dạ 690k b ạ,2020-05-03T09:11:02+0000
,user,Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https:\/\/facebook.com\/1454523434857990\/posts\/2387920508184940\/?comment_id=2455590984751225),2020-05-03T09:11:02+0000
2460805154029698,,bot,2020-05-03T09:11:02+0000
2460805154029698,K hiểu ai dậy cái kiểu ngủ này,bot,2020-05-03T09:11:02+0000
2460805154029698,,bot,2020-05-03T09:11:02+0000
2460805154029698,Còn ảnh này là mã cũ ạ,bot,2020-05-03T09:11:02+0000
2460805154029698,user,Dạ 1650k nha bạn,2020-05-03T09:11:02+0000
2460805154029698,Mã mới là ảnh này ạ,bot,2020-05-03T09:11:02+0000
