id,timestamp,sender_id,message,bot_message,uc,outcome,silent,user_intent,user_timestamp_detail,bot_timestamp_detail,wait_time
1,2020-06-19,3997487680293412,/start_conversation,"Chào Nguyễn Hải Yến, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",, ,0,start_conversation,2020-06-19 05:45:51,2020-06-19 05:45:51,0.0
1,2020-06-19,3997487680293412,Shop ới,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",, ,0,greet,2020-06-19 05:46:04,2020-06-19 05:46:04,0.0
1,2020-06-19,3997487680293412,https://scontent.xx.fbcdn.net/v/t1.15752-9/103569049_1378771055657575_5331851704586927922_n.jpg?_nc_cat=107&_nc_sid=b96e70&_nc_ohc=BrnD9gjo5vYAX-mMxTd&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=14edbeb9645d5f687a8dfe02171fc09b&oe=5F11E635,Bạn đang tìm kiếm thông tin gì ạ?,, ,0,send_link,2020-06-19 05:46:16,2020-06-19 05:46:16,0.0
1,2020-06-19,3997487680293412,Shop còn bộ đồ chơi tắm k,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",, ,0,query_knowledge_base,2020-06-19 05:47:05,2020-06-19 05:47:08,3.0
1,2020-06-19,3997487680293412,"/disagree{""object_type"": null}",Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!,1.2, ,0,disagree,2020-06-19 05:49:58,2020-06-19 05:49:58,0.0
1,2020-06-19,3997487680293412,/connect_employee,bot handover_to_inbox,, ,0,connect_employee,2020-06-19 05:50:15,no_timestamp,no_wait_time
2,2020-06-19,3751272288231725,/start_conversation,"Chào Bi Nguyễn, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",1.1, ,0,start_conversation,2020-06-19 05:43:52,2020-06-19 05:43:52,0.0
2,2020-06-19,3751272288231725,https://scontent.xx.fbcdn.net/v/t1.15752-9/103792005_773731693386041_2808221037539971567_n.jpg?_nc_cat=101&_nc_sid=b96e70&_nc_ohc=Ir_soN89cUUAX_Ddsh1&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=9eced67cdc2358a010f8d1c5d42bbcf9&oe=5F1235CD,Bạn đang tìm kiếm thông tin gì ạ?,, ,0,send_link,2020-06-19 05:44:01,2020-06-19 05:44:01,0.0
2,2020-06-19,3751272288231725,https://scontent.xx.fbcdn.net/v/t1.15752-9/104193471_203248717523463_6430324323880332199_n.jpg?_nc_cat=103&_nc_sid=b96e70&_nc_ohc=LWKReZqBHKAAX9Yfdq5&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=566cffe20f05bea9b9b4f97096c82b4a&oe=5F11DB32,Bạn đang tìm kiếm thông tin gì ạ?,, ,0,send_link,2020-06-19 05:44:13,2020-06-19 05:44:13,0.0
2,2020-06-19,3751272288231725,Cái phần kê chân này kéo lên cao cho bé kê đc k sh,Bot doing sth,, ,0,handover_to_inbox,2020-06-19 05:44:32,2020-06-19 05:44:43,11.0
