sentence,og_sentence,kmeans_cluster,x,y
mình ở sl thì nhận hàng thế nào bạn,Mình ở SL thì nhận hàng thế nào bạn,0,21.453024,19.155687
kiểu chân cầu thang ý chị chọn ở chân để túi nó không leo lên,Kiểu chân cầu thang ý. C chặn ở chân để túi nó ko leo lên,7,16.292562,-33.518436
là sao ạ,Là sao ạ,9,54.559254,54.917114
hàng của mình đi chưa ạ,Hàng của m đi chưa ạ,1,-3.220999,73.247749
hàng của mình đi chưa bạn,Hàng của m đi chưa b,1,-3.809047,73.503578
sao mình bận,Sag mình bận,14,-20.956858,-21.99222
0977527013,0977527013,11,68.636063,-30.358683
vay ạ,Vag ạ,7,27.671865,-26.145325
người ta lại chưa nhận,Người ta lại chưa nhận,6,-22.080635,-2.71824
thanh s,thaz s,7,22.211554,-37.273506
bạn ở,Bạn ơ,4,-48.998024,9.370656
0988 333 832,0988.333.832,5,83.33252,-13.408467
thì thấy bt 15 lô số 12-13-14 đường số 30 khu đô thị phước long à nhà trang khánh hòa 0986889966,"Thu Thủy
BT 15, lô số 12-13-14 đường số 30, khu đô thị phước long A, nha trang, khánh hòa
0986889966",13,-48.712837,-23.419876
mình lấy nha bạn,M lấy nha b,1,2.509015,75.279861
bé 3 tuổi đi được chưa ạ,Bé 3 tuổi đi đc chưa ạ,0,-3.126261,41.446552
shop bgio nghỉ tết vậy,Shop bgio nghỉ tết vậy,3,-17.56815,-85.760437
ở cái này hết hàng rồi ấ,Ớ cái này hết hàng r ấ,8,8.786781,-12.953438
shop ở đâu,Shop ở đâu,4,-47.805626,4.034832
hay 1 kiểu ngồi như thế thôi ạ,Hay 1 kiểu ngồi như thế thôi ạ,2,56.239086,22.042109
tớ nhận được rồi bạn nhé,t nhận đc r b nhé,1,-29.177753,65.136925
tổng 695k nhé,tổng 695k nhé,3,-27.126495,-62.161858
tớ đặt 2 bộ như ảnh gửi nhé,t đặt 2 bộ như ảnh gửi nhé,9,33.4119,48.912781
cho thử bằng miệng rồi nói không,Chỉ thử bằng miệng r nói không,3,-10.287123,-49.482536
mình mới được biết,Mình mới đc biết,1,-9.117842,65.305305
và đồng là hôm nay,Và đúng là hnay,9,13.793331,63.726074
và mất công đến,Và mất công đến,8,27.905386,9.113343
thì mình mới mấy công gửi,Thì mình mới mấy công gửi,0,-2.23502,39.104446
máy thực sự có mùi,Máy thực sự có mùi,3,-20.610773,-77.643082
