conversation_id,turn,uc5,uc4,message_id,fb_conversation_id,sender_id,to_sender_id,sender_name,user_message,bot_message,updated_time,created_time,attachments,user_message_clean
1,0,,,m_g9pRNgsmWNEnS0qSXJSfaJKeUyFIiqyIyW9pJFZ-5RqMYv0c5nyP6CK0QQjefPHEHEXpDHWYR29fv9fgXCt1IQ,t_2562483557099833,1454523434857990,2472037052809795,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/1454523434857990/posts/2521647221478934/?comment_id=2530630270580629),2020-08-03T01:45:11+0000,2020-08-03T01:40:57+0000,,user
1,0,,,m_RAby7EOj5fGKPIDaC-8Oj5KeUyFIiqyIyW9pJFZ-5Rrsw83UmZIOoXBmvH5WnYB0GaIWMgjBE3kbbR8gm9fcNA,t_2562483557099833,1454523434857990,2472037052809795,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,dạ 799k ạ,2020-08-03T01:45:11+0000,2020-08-03T01:40:57+0000,,user
1,1,,,m_qS0ML6lTNgIOahTImU2WupKeUyFIiqyIyW9pJFZ-5Rp9pAdoe4EMwtS8QLSnPVzKnkPaJpc8MUutmGNG6ba7EQ,t_2562483557099833,2472037052809795,1454523434857990,Hoàng Yến,Loại nào 799k b ơi,bot,2020-08-03T01:45:11+0000,2020-08-03T01:41:59+0000,,loại nào 799k bạn ơi
1,1,,,m_JPIEjjUoG2mCuES-GLbA5pKeUyFIiqyIyW9pJFZ-5Ro97jPWmijlGSuRKo32-Bc7nJjaw79L5o6Hpq_Z9jOakg,t_2562483557099833,2472037052809795,1454523434857990,Hoàng Yến,M có cmt 2 món,bot,2020-08-03T01:45:11+0000,2020-08-03T01:42:03+0000,,mình có comment 2 món
1,1,,,m_3394eeqChFvJW8Y_ZjDF-pKeUyFIiqyIyW9pJFZ-5RqLpTTEoiH9qfIFtZbVCAQd8PNEdWTPb395yEF6cK04eQ,t_2562483557099833,1454523434857990,2472037052809795,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,xe đẩy 799k ạ,2020-08-03T01:45:11+0000,2020-08-03T01:43:10+0000,,user
1,1,,,m_iJUcB1beA3cy_7piIVna7pKeUyFIiqyIyW9pJFZ-5RqpG-9mgLhaumyrNSPb6ghFiw38Kscw5ybXawe-InBhWA,t_2562483557099833,1454523434857990,2472037052809795,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/1454523434857990/posts/2525908977719425/?comment_id=2530629003914089),2020-08-03T01:45:11+0000,2020-08-03T01:43:17+0000,,user
1,1,,,m_sRyiKW8k0D18JCkrga4Kk5KeUyFIiqyIyW9pJFZ-5Rr1LCnrcv73vF-N_1xOkTzenrpGEDuOsTm4fcdMxTgzOA,t_2562483557099833,1454523434857990,2472037052809795,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,bảng 720k b ạ,2020-08-03T01:45:11+0000,2020-08-03T01:43:17+0000,,user
1,2,,,m_hFbyZubmMnTZbJOkgexu-ZKeUyFIiqyIyW9pJFZ-5RpYd3zQaeA_FtaSZtO-XM8R0jOzErauBV1jK1WgTq7nwA,t_2562483557099833,2472037052809795,1454523434857990,Hoàng Yến,Bên b có oto điện gì ko,bot,2020-08-03T01:45:11+0000,2020-08-03T01:44:40+0000,,bên bạn có oto điện gì không
1,2,,,m_EzuWlOqqE8U5IYXvkSHODZKeUyFIiqyIyW9pJFZ-5RoL_gZjoNoLhjBpp-Jwzh1SlwlCxxTNyMleAwufabOqhA,t_2562483557099833,1454523434857990,2472037052809795,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,dạ mình ko có ạ,2020-08-03T01:45:11+0000,2020-08-03T01:45:11+0000,,user
2,0,,,m_KB9EWiIzWLye9mG3XSPqt2wKSB-idKTovZbYqDxXbY_af98o1J4nxeBd8dfctKQWld2gA38d9IKPw1niqRPWcQ,t_592066991682903,1454523434857990,2111940755560307,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,Bạn đang trả lời bình luận của người dùng về bài viết trên Trang của mình. Xem bình luận.(https://facebook.com/1454523434857990/posts/2528357557474567/?comment_id=2530220703954919),2020-08-03T01:45:57+0000,2020-08-03T01:45:56+0000,,user
2,0,,,m_8Zs96bGMRTQkuLmZtHzVRWwKSB-idKTovZbYqDxXbY_P2BCoq4-QVtwq9w4bexmyy8zUdHvUCcd9hpW1a-rrIQ,t_592066991682903,1454523434857990,2111940755560307,Shop Gấu & Bí Ngô - Đồ dùng Mẹ & Bé cao cấp,user,"Dạ size nhỏ 350k
size to 450k ạ",2020-08-03T01:45:57+0000,2020-08-03T01:45:57+0000,,user
3,0,,,m_hlXSBlTT-bIyePax2ejimnX9LU2xL4K7cjVfl2bknr5bsEV8MwISsJFie5aMP01EBt051IlmDQ_027XUSVlPiw,t_1399106980234162,2592183017519039,1454523434857990,Cẩm Hằng,Mình có sẵn bộ quây cũi ko ạ?,bot,2020-08-03T01:46:24+0000,2020-08-02T07:22:12+0000,,mình có sẵn bộ quây cũi không ạ
