k,silhouette_score,inertia
2,0.39240470814888334,3800350.774792935
3,0.3885008803923464,2394344.810863846
4,0.37774546259237063,1740944.083277878
5,0.39613486947778004,1349963.102757929
6,0.4237069968134857,1020164.0722202301
7,0.4140844714936066,878249.2843202307
8,0.42268647278825616,758250.3612631158
9,0.4200600724250812,656526.5699539736
10,0.42056559904006924,575450.393361812
11,0.42607478449043307,510784.51188845816
12,0.42545281290266773,462571.91676954407
13,0.4214499330398482,431320.69731615565
14,0.41522879820560404,395962.2150107007
15,0.4207384605589474,370321.55289411434
16,0.42233141206617314,351128.4132688995
17,0.4262982837293865,324650.61705539224
18,0.4314799314439365,300084.7300255465
19,0.42655860979846255,286222.6280000633
