k,silhouette_score,inertia
2,0.3777993576813304,33411411.513371248
3,0.40488235851945475,21111768.889105387
4,0.41162289311773037,15050614.041036513
5,0.4022401138272443,12061034.325537663
6,0.43163263577527355,10016415.356304394
7,0.45150203869601674,8260894.2746945955
8,0.4830771186983662,6708954.8665426355
9,0.49628260609609093,5601858.961735888
10,0.49665657082967846,4917406.185321581
11,0.5096819227504692,4393768.990060181
12,0.5249039381210812,3809458.656168337
13,0.5313743274056979,3371957.8953960515
14,0.53428769835376,3044044.1343801934
15,0.5406624395111541,2731953.684528918
16,0.5348417938531471,2549076.620221676
17,0.5393630166685515,2368018.9336234983
18,0.5417628063392937,2202057.1864561206
19,0.5455429333422535,2024776.2968553223
