k,silhouette_score,inertia
2,0.5393470695693944,1418237.8850436378
3,0.407091666390668,900222.0070252912
4,0.38180658314845933,685822.6783436124
5,0.411923982163872,531904.1820852823
6,0.45211074087222486,385184.02478798927
7,0.43768187174312634,325776.18752478564
8,0.4481001414062022,272663.75259875425
9,0.4496506451667863,234726.51742752423
10,0.46300538176454153,201594.99054980968
11,0.4594978870224535,181548.45221282594
12,0.46816884210950793,159462.82001375366
13,0.46947839889607607,140615.05672104465
14,0.47840709540849025,126667.95981285995
15,0.48232596071236644,113979.44143344971
16,0.49042910672243994,102842.39096959573
17,0.4888314165203561,93690.6515660813
18,0.481669136238796,87654.43853768206
19,0.4806483570397103,81859.00081825121
