k,silhouette_score,inertia
2,0.33571007521837554,59997346.726947665
3,0.361184927974005,37987892.46089213
4,0.35809859415765094,27386606.59994338
5,0.33144078850105263,22632921.695960082
6,0.3578933556757609,18721461.238106992
7,0.3543164089012807,15668136.663834896
8,0.34814834326986555,13701265.286277333
9,0.3482965853561635,12327650.448858986
10,0.3423554963434236,11210951.91222538
11,0.3530012529207416,10053894.38322908
12,0.350364418607019,9176079.98381008
13,0.35147078919945457,8443564.887753667
14,0.35141131484258403,7874695.454789425
15,0.35137828542303384,7292649.201084547
16,0.34814754081348986,6870871.182385335
17,0.3516363648215533,6471532.441902042
18,0.35866521510190585,6016890.093906799
19,0.3616605798268366,5670901.395672969
