,id,sender_id,message,bot_message,timestamp,bot_timestamp,user_intent,outcome,silent,prediction
0,1,2653299131407620,/start_conversation,"Chào Anna Truong, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",2020-05-12 09:04:01,2020-05-12 09:04:01,start_conversation, ,,
1,1,2653299131407620,Shop oi? Shop co phao boi đeo cổ cho be kh ạ?,"Sản phẩm  Phao  hiện shop đang có giá: *170,000 VND (giá gốc 190,000 VND), 148,000 VND, 210,000 VND*.
Bạn tham khảo các sản phẩm sau nhé ạ:",2020-05-12 09:04:39,2020-05-12 09:04:39,query_knowledge_base,other,1.0,
2,2,3299279903436005,"B ơi ship giúp m 1 kệ này đến trường chinh
M ck tiền cho b", ,2020-05-12 05:19:25, ,handover_to_inbox,shipping_order,,
3,3,2596384490479200,/greet,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-05-04 04:27:45,2020-05-04 04:27:45,greet, ,,
4,3,2596384490479200,/greet,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-05-04 04:29:27,2020-05-04 04:29:27,greet,other,1.0,
5,4,2596384490479200,/greet,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-05-06 11:20:52,2020-05-06 11:20:53,greet,other,1.0,
6,5,2596384490479200,"/greet
/greet", ,2020-05-13 02:17:21, ,"greet
/greet", ,,
7,5,2596384490479200,hello,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-05-13 02:19:58,2020-05-13 02:19:58,greet, ,,
8,5,2596384490479200,/greet,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-05-13 02:20:17,2020-05-13 02:20:17,greet,other,1.0,
9,6,2596384490479200,/greet,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-05-15 03:27:02,2020-05-15 03:27:02,greet, ,,
10,6,2596384490479200,https://cf.shopee.vn/file/5428a8fa1e572602a819450e7e12a2a2 có giá bao nhiêu,"Sản phẩm  Xe tập đi đa năng kiêm bập bênh Zaracos Mura (Mỹ)  hiện shop đang có giá: *1,130,000 VND (giá gốc 1,285,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",2020-05-15 03:27:58,2020-05-15 03:28:04,query_knowledge_base,other,1.0,
11,7,2596384490479200,/greet,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-05-19 01:48:36,2020-05-19 01:48:37,greet,other,1.0,
12,8,1905097636231805,shop cho minhg hoit,"Chào bạn, mình là trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-05-14 07:40:13,2020-05-14 07:40:13,greet, ,,
13,8,1905097636231805,shop có bán máy hút sữa ko,"Sản phẩm  Máy hút sữa điện đôi Avent Snow (Chính hãng - Cty Vạn An)  hiện shop đang có giá: *4,990,000 VND (giá gốc 6,950,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",2020-05-14 07:40:28,2020-05-14 07:40:29,query_knowledge_base, ,,
14,8,1905097636231805,của medela shop có ko vậy,"Dạ, sản phẩm Máy Hút Sữa hãng sản xuất Medela hiện tại bên shop đang tạm hết hàng ạ. Bạn tham khảo các sản phẩm khác dành cho bé nhé!",2020-05-14 07:42:56,2020-05-14 07:42:56,query_knowledge_base,other,1.0,
15,9,2167018926673666,"https://scontent.xx.fbcdn.net/v/t1.15752-9/97004143_571584190405004_5728659939551870976_n.jpg?_nc_cat=109&_nc_sid=b96e70&_nc_ohc=OloTDYlV20gAX-aKIyO&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=fdce07496ec4493bc0e438690b34a96a&oe=5EE99292
Bộ này bn vậy shop","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-05-19 03:39:20,2020-05-19 03:39:22,query_knowledge_base, ,,uc_2
16,9,2167018926673666,"/disagree{""object_type"": null}",Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!,2020-05-19 03:39:51,2020-05-19 03:39:51,disagree, ,,
17,9,2167018926673666,"https://scontent.xx.fbcdn.net/v/t1.15752-9/97004143_571584190405004_5728659939551870976_n.jpg?_nc_cat=109&_nc_sid=b96e70&_nc_ohc=OloTDYlV20gAX-aKIyO&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=fdce07496ec4493bc0e438690b34a96a&oe=5EE99292
Bộ này bao vậy","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-05-19 03:40:22,2020-05-19 03:40:25,query_knowledge_base,other,1.0,
18,10,2705623442806274,/restart, ,2020-05-04 02:57:07, ,restart, ,,other
19,10,2705623442806274,"shop ơi
mình còn kệ đồ chơi
Toyhouse ko ạ","Dạ, sản phẩm Kệ hãng sản xuất Toyhouse hiện tại bên shop đang tạm hết hàng ạ. Bạn tham khảo các sản phẩm khác dành cho bé nhé!",2020-05-04 02:57:30,2020-05-04 02:57:30,query_knowledge_base, ,,uc_1
20,10,2705623442806274,"/confirm_attribute_value{""brand"": ""NULL""}", ,2020-05-04 02:58:40,2020-05-04 02:58:40,confirm_attribute_value, ,,
21,10,2705623442806274,"/confirm_attribute_value{""material"": ""Nhựa""}",Dạ mời bạn tham khảo sản phẩm hiện có tại shop nhé!,2020-05-04 02:58:49,2020-05-04 02:58:50,confirm_attribute_value, ,,
22,10,2705623442806274,"/restart
Shop ơi
B còn xe đẩy vinng k", ,2020-05-04 03:04:10, ,"restart
Shop ơi
B còn xe đẩy vinng k", ,,
23,10,2705623442806274,/restart, ,2020-05-04 03:05:05, ,restart, ,,
24,10,2705623442806274,"Shop ơi
B còn xe đẩy vinng k","Sản phẩm  Xe Đẩy hãng sản xuất Vinng hiện shop đang có giá: *1,990,000 VND (giá gốc 3,000,000 VND), 1,378,000 VND (giá gốc 2,650,000 VND), 1,350,000 VND (giá gốc 2,500,000 VND)*.
Bạn tham khảo các sản phẩm sau nhé ạ:",2020-05-04 03:05:31,2020-05-04 03:05:32,query_knowledge_base, ,,
25,10,2705623442806274,M lấy xe loại 1tr350nhé, ,2020-05-04 03:05:51, ,query_knowledge_base, ,,
26,10,2705623442806274,/restart, ,2020-05-04 03:29:16, ,restart, ,,
27,10,2705623442806274,"""https://scontent.xx.fbcdn.net/v/t1.15752-9/94225276_242164143651132_1814380106374709248_n.jpg?_nc_cat=100&_nc_sid=b96e70&_nc_ohc=XftmvULWp9MAX-VYL_M&_nc_ad=z-m&_nc_cid=0&_nc_zor=9&_nc_ht=scontent.xx&oh=0ccb257e2bbbeb1f7f16f908e6cca269&oe=5EC9C5D3
Bên e còn k""","Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-05-04 03:29:33,2020-05-04 03:29:35,query_knowledge_base,other,1.0,
28,11,2705623442806274,/start_conversation,"Chào Phan Viễn Phương, mình là trợ lý ảo của Shop Gấu & Bí Ngô!
Để hỗ trợ bạn nhanh nhất có thể, vui lòng mô tả ngắn gọn và rõ ràng sản phẩm muốn tìm kiếm nhé!",2020-05-05 04:33:59,2020-05-05 04:33:59,start_conversation, ,,
29,11,2705623442806274,"/query_knowledge_base{""object_type"": ""xe_tap_di""}", ,2020-05-05 04:34:19,2020-05-05 04:34:19,query_knowledge_base, ,,
