feature,target
user,other
loại này nếu không lấy kích đu cầu trượt với thú nhún được không za shop,other
user,other
user,other
user,other
hi shop,other
ngựa bé mấy tuổi chơi được ạ,other
user,other
bạn ơi,other
rồi bạn ơi,other
user,other
bạn ơi mình nhờ bạn đăng hộ thanh lý máy ạ,other
user,other
user,other
ad ơi,other
user,other
user,other
user,other
ship cho chị cái nhé,other
cho chị hỏi mẫu này cái nhỏ nhất,other
chào bạn,other
chào shop mình lấy ghế này màu xanh nhé,other
shop kiểm tra giúp mình với nhé,other
ạ muốn mua cái này,other
bạn cho mình không tin thanh toana,other
mình nói tớ mua sale 5 triệu đi,other
user,other
mình chuyển khoản rồi bạn nhé,other
bắt đầu,other
bắt đầu,other
bắt đầu,other
bắt đầu,other
ok ạ để em đặt,other
chị ơi,other
báo ja jup mình nhé,other
set stảed,other
mình chuyển khoản rồi nhé,other
user,other
lấy mình cái này ạ,other
2c đều hồng bạn nhé,other
này nhiêu shop,other
user,other
shop inbox mấy sản phẩm này cho mình nhé,other
mẫu này bạn ạ,other
user,other
user,other
hi bạn,other
bạn ơi,other
cho mình 3 sản phẩm trên nhé,other
shop ơi,other
chính hãng hả shop,other
user,other
user,other
cho mình 1 cái màu xanh nhé ad,other
alo shop,other
ship cho em cái này với ạ,other
bạn ơi mình lấy 1 xe này nhé,other
hi shop,other
user,other
sau bé nhà mình địu cứ bị gò như thế nào hả bạn,other
cả set đúng không ạ,other
vậy à,other
tư vấn em loại này nhé,other
bạn ơi mình gọi mua ghế,other
shop ơi,other
bạn ship mình 1 xe đẩy vovo này màu xám ạ,other
