sentence,kmeans_cluster,x,y
ok,3,48.062275,-6.477955000000001
ok,3,49.495033,-4.953615
ship phí bao nhiêu,3,49.095997,8.870024
nha,3,65.042763,-18.152922
shop,3,53.405193000000004,-23.377106
shop,3,53.405193000000004,-23.377106
ok,3,42.387535,-6.0192559999999995
kích thước,3,73.04895,-15.230116
ok,3,42.387535,-6.0192559999999995
ok,3,46.91428,-3.232726
ok,3,48.062275,-6.477955000000001
ok,3,43.623363,-3.239287
ok,3,46.333809,2.484554
ok,3,46.91428,-3.232726
ok shop,3,63.479053,15.695295000000002
ship bao bao nhiêu tiền,3,53.765301,13.854154999999999
ok,3,46.91428,-3.232726
tiền,3,40.712082,-17.474566
ok,3,45.424686,-4.027908999999999
ok shop,3,61.782524,15.489804000000001
shop,3,51.8265,-22.652327
ok,3,44.199657,3.777053
ok shop,3,62.276814,15.567078
kích thước,3,73.321472,-15.280706
cám ơn nhea,3,62.132445999999995,6.56067
ok,3,46.91428,-3.232726
ok,3,46.528877,-8.715564
shop,3,49.988823,-25.62483
ok,3,45.252734999999994,-5.974355
kích thước,3,73.375847,-15.208981
kích thước,3,73.083771,-15.236695999999998
ok,3,43.915290999999996,-8.726161
cảm ơn d,3,64.676376,6.427778
cám ơn shop,3,63.492424,-1.738304
ship bao nhiêu khoản,3,47.822926,13.208016
shop,3,53.405193000000004,-23.377106
link,3,67.356346,-33.112419
ok cảm ơn shop,3,60.933289,0.45291000000000003
lắp pin cảm ơn dây sạc,3,59.590221,5.4824470000000005
ship set cầu trượt thành phố lào cai tầm bao nhiêu tiền shop,3,34.672554,-11.67807
thể gọi kia liên hệ giao hàng cảm ơn,3,56.842318999999996,2.012913
ok,3,42.11927,2.525974
shop,3,53.405193000000004,-23.377106
ok,3,40.428246,-3.635965
ok nha,3,60.204857,-14.363114000000001
shop,3,53.405193000000004,-23.377106
ok,3,46.91428,-3.232726
ship trôi phí ship bao nhiêu,3,41.627224,10.242678999999999
shop,3,50.159584,-21.634842000000003
ok cảm ơn,3,69.862923,9.185672
kích thước,3,73.207886,-14.985114000000001
shop,3,50.159584,-21.634842000000003
cảm ơn nha,3,71.31495699999999,10.393195
yep cảm ơn,3,63.50154499999999,6.444755000000001
shop,3,50.159584,-21.634842000000003
ok,3,45.364464,-3.9026120000000004
ok,3,45.361469,-3.8934029999999997
ok,3,45.361553,-3.893783
tiền ship bao nhiêu,3,50.67202,12.98575
ok,3,45.374168,-3.9318190000000004
ok,3,45.427704,-4.033748999999999
ok,3,41.579163,-1.1989370000000001
set stảed,3,73.79656999999999,-2.7276830000000003
ok,3,41.706219,1.335232
ok,3,41.154499,-8.459548
ok,3,50.469002,-3.1276669999999998
ship bao nhiêu khoản,3,47.822926,13.208016
ship bao nhiêu,3,53.25415,12.986577
ok,3,38.924403999999996,-1.42375
ship sài gòn bao nhiêu,3,43.016125,10.736578
ok,3,44.650436,-0.69043
ok,3,50.469002,-3.1276669999999998
ok,3,46.91428,-3.232726
ok,3,50.469002,-3.1276669999999998
ok,3,39.831062,-6.925963
ship bao nhiêu tiền,3,50.671524,12.985939
shop,3,53.405193000000004,-23.377106
cảm ơn ađ,3,63.789711,6.407443
ok,3,43.623363,-3.239287
tỉnh ship bao,3,35.451771,-14.759884
ok,3,43.623363,-3.239287
ok,3,46.91428,-3.232726
ok,3,40.428246,-3.635965
ok,3,40.428246,-3.635965
shop,3,49.988823,-25.62483
set stảed,3,71.97364,0.033589
shop,3,53.405193000000004,-23.377106
set stảed,3,73.79656999999999,-2.7276830000000003
shop,3,49.988823,-25.62483
ok,3,48.062275,-6.477955000000001
shop,3,50.159584,-21.634842000000003
shop,3,53.405193000000004,-23.377106
dặn cảm ơn shop,3,61.030983,2.933153
ok shop,3,62.273148,15.213214
khoản bao nhiêu,3,48.199444,13.637012
shop,3,53.405193000000004,-23.377106
ok,3,46.91428,-3.232726
shop xe đẩy,3,66.801125,-10.561800999999999
ok,3,38.55761,-7.31849
shop,3,53.405193000000004,-23.377106
ok shop,3,61.782524,15.489804000000001
shop,3,50.159584,-21.634842000000003
ok shop,3,61.782524,15.489804000000001
ok shop,3,61.556973,14.023225
ok shop,3,61.879272,15.067241000000001
ship bao nhiêu,3,53.254192,12.987078
ok,3,43.915290999999996,-8.726161
ship tầm bao nhiêu,3,43.611427,13.336691
ok,3,39.831062,-6.925963
shop,3,50.159584,-21.634842000000003
shop,3,51.826271000000006,-22.652781
ok,3,49.183525,0.621159
ok,3,43.539101,1.212302
ok,3,46.91428,-3.232726
shop,3,53.405193000000004,-23.377106
cảm ơn nha,3,71.31495699999999,10.393195
xe shop,3,64.451996,-9.465734
shop,3,50.159584,-21.634842000000003
ok nha shop,3,60.152606999999996,13.371689000000002
ok,3,45.252734999999994,-5.974355
shop,3,53.405193000000004,-23.377106
ok,3,45.252734999999994,-5.974355
ship bao,3,52.464473999999996,7.532514
ok,3,53.021094999999995,-3.640046
shop,3,51.8265,-22.652327
ok,3,51.864666,-1.182
ok,3,53.088271999999996,-2.411842
ok shop,3,61.782524,15.489804000000001
ship bao nhiêu tiền,3,50.671898,12.985763
giường,3,76.091537,16.113087
cảm ơn nha,3,71.31495699999999,10.393195
shop,3,53.405193000000004,-23.377106
ok,3,42.11927,2.525974
phí ship bao nhiêu,3,49.095074,8.870584
ok,3,46.91428,-3.232726
shop,3,50.159584,-21.634842000000003
ship bao nhiêu,3,53.254475,12.986775
ok,3,43.623363,-3.239287
ship bình thuờng bao nhiêu,3,35.651405,-13.458803
shop,3,53.405193000000004,-23.377106
hồng,3,73.104187,-24.035145
ok cảm ơn shop,3,60.932999,0.45241000000000003
ok,3,50.469002,-3.1276669999999998
ok,3,50.469002,-3.1276669999999998
ok,3,46.91428,-3.232726
ok shop,3,61.782524,15.489804000000001
ok,3,46.91428,-3.232726
ok,3,46.91428,-3.232726
xanh,3,71.818108,-25.487371
ok,3,42.387535,-6.0192559999999995
ok,3,45.252734999999994,-5.974355
ok shop,3,61.782524,15.489804000000001
ok shop,3,62.254337,15.182967999999999
set stảed,3,73.927856,-1.2940770000000001
ok,3,40.428246,-3.635965
ok,3,46.957626,0.198851
shop,3,50.159584,-21.634842000000003
ok,3,45.366756,-3.9105440000000002
ok,3,45.3773,-3.9405059999999996
ok,3,45.360958000000004,-3.890835
ok,3,45.370045000000005,-3.919261
ok,3,45.434647,-4.0475699999999994
ok,3,45.370544,-3.9214550000000004
ok,3,45.423229,-4.026314
okie cảm ơn shop,3,61.051944999999996,2.771663
set stảed,3,72.1605,-0.9789959999999999
cảm ơn ship phí cảm ơn shop,3,59.564049,1.9614919999999998
ship bao nhiêu,3,53.253409999999995,12.986804
ok,3,45.426857,-4.0336870000000005
hồng,3,73.104187,-24.035145
ok,3,45.441959000000004,-4.077925
ok,3,41.2934,0.292885
shop,3,51.8265,-22.652327
ok,3,42.869694,-0.613966
shop,3,53.405193000000004,-23.377106
shop,3,53.405193000000004,-23.377106
ok,3,41.154499,-8.459548
ok,3,41.882313,-9.827546
ok,3,46.91428,-3.232726
shop,3,50.159584,-21.634842000000003
shop,3,53.405193000000004,-23.377106
shop,3,53.405193000000004,-23.377106
ok shop,3,62.283512,15.551151999999998
ok cảm ơn,3,69.86269399999999,9.185491
ok,3,42.909096000000005,3.488351
ok,3,38.924403999999996,-1.42375
bao ship,3,52.464473999999996,7.532514
màu hồng,3,65.49816899999999,-26.112751
ok,3,45.363628000000006,-3.902514
muọn cảm ơn shop,3,60.978313,3.703189
cảm ơn shop shopee vận,3,59.02400600000001,1.0378690000000002
shop,3,50.159584,-21.634842000000003
ok,3,46.91428,-3.232726
ok,3,46.91428,-3.232726
ok,3,46.91428,-3.232726
ok,3,46.91428,-3.232726
ok,3,46.91428,-3.232726
ok,3,46.91428,-3.232726
ok,3,46.957626,0.198851
ok,3,46.91428,-3.232726
ok,3,40.428246,-3.635965
nha shop,3,66.157455,16.092972
ok,3,46.91428,-3.232726
tiền mua hàng cám ơn,3,58.187737,3.49851
shop,3,50.159584,-21.634842000000003
dja cảm ơn shop,3,60.975441000000004,3.711032
ok,3,37.545349,-3.906014
cảm ơn nha,3,71.31495699999999,10.393195
cảm ơn tham khảo,3,62.40044,5.165648
ok,3,46.91428,-3.232726
ok,3,43.623363,-3.239287
kích thước,3,73.224876,-14.983882999999999
shop,3,53.405193000000004,-23.377106
ship hoá bao nhiêu,3,40.970058,12.181051
ok shop,3,62.151295,15.711651000000002
ok,3,46.91428,-3.232726
ok,3,46.91428,-3.232726
ok,3,42.387535,-6.0192559999999995
kích thước,3,73.319763,-15.28222
ok,3,43.915290999999996,-8.726161
xe bé shop,3,63.72834,-7.3449860000000005
cám ơn tham khảo inbox,3,60.131007999999994,5.676651000000001
set,3,76.363274,4.32878
ok,3,43.915290999999996,-8.726161
cám ơn đặt shopee lun,3,57.832840000000004,0.7733760000000001
tổng ship bao nhiêu,3,43.596424,13.298174
ok,3,43.623363,-3.239287
oh tiền ship bao nhiêu,3,40.946781,12.279219
ship bao nhiêu,3,53.254509,12.986774
khoản bao nhiêu,3,48.199444,13.637012
ship tầm bao nhiêu,3,43.611422999999995,13.336665
tiền ship bao nhiêu,3,50.672043,12.985728
kích thước,3,73.321472,-15.280706
ok,3,46.528877,-8.715564
ok cảm ơn chiêu tây sơn dubg,3,59.7155,7.249177
ok,3,46.528877,-8.715564
ok shop,3,62.286384999999996,15.587528
ok shop,3,60.660378,16.034456
ship bao nhiêu,3,53.254509,12.986774
ok shop,3,62.283875,15.231322
shop,3,50.159584,-21.634842000000003
ship bao nhiêu,3,53.25391,12.986877999999999
ok,3,42.682152,-10.960005
gửi tiền giúp cảm ơn shop,3,58.409454000000004,1.7731709999999998
ok,3,48.062275,-6.477955000000001
ok,3,37.545349,-3.906014
ok,3,44.650436,-0.69043
ok,3,37.545349,-3.906014
ok,3,43.623363,-3.239287
khoản ship bao nhiêu,3,47.822926,13.208015
ok,3,46.91428,-3.232726
ok,3,43.539101,1.212302
hị hị cảm ơn,3,61.304145999999996,6.762731
cảm ơn shop mua nhắn,3,59.728320999999994,1.256773
ok,3,46.91428,-3.232726
ok,3,46.91428,-3.232726
ok cảm ơn,3,69.862923,9.185672
ok shop,3,61.782524,15.489804000000001
ok cảm ơn,3,69.862679,9.185486000000001
chắn,3,78.005608,13.797153
ok shop,3,61.782524,15.489804000000001
cảm ơn shô,3,63.72784,6.411687000000001
shop,3,50.159584,-21.634842000000003
ok,3,44.650436,-0.69043
shop,3,53.405193000000004,-23.377106
shop,3,51.8265,-22.652327
cám ơn ❤️,3,61.873081000000006,6.650444
ok,3,43.623363,-3.239287
